Name,Link,Price,Display Size,Display Resolution,Processor,OS,SSD,Weight
Asus ProArt Studiobook 16 OLED (2022),https://www.gadgets360.com/asus-proart-studiobook-16-oled-2022-price-in-india-112452,"₹ 199,990",16.00-inch,3840x2400 pixels,Core i9,N/A,1TB,N/A
Asus ProArt Studiobook Pro 16 OLED (2022),https://www.gadgets360.com/asus-proart-studiobook-pro-16-oled-2022-price-in-india-112450,"₹ 329,990",16.00-inch,2560x1600 pixels,Core i9,N/A,1TB,2.40 kg
Asus Zenbook Pro 14 Duo OLED,https://www.gadgets360.com/asus-zenbook-pro-14-duo-oled-price-in-india-112447,"₹ 144,990",14.00-inch,N/A,Core i5,N/A,512GB,1.70 kg
Dell XPS 13 9315,https://www.gadgets360.com/dell-xps-13-9315-price-in-india-112208,"₹ 142,480",13.40-inch,"1,920x1,200 pixels",Core i7,Windows 11 Pro,512GB,N/A
Asus Zenbook 14 Flip OLED (UP5401),https://www.gadgets360.com/asus-zenbook-14-flip-oled-up5401-price-in-india-111826,"₹ 99,990",14.00-inch,N/A,Ryzen 7,Windows 11,N/A,1.40 kg
Asus Vivobook S 14 Flip,https://www.gadgets360.com/asus-vivobook-s-14-flip-price-in-india-111825,"₹ 66,990",14.00-inch,N/A,Core i5,Windows 11,1TB,1.50 kg
Asus Vivobook 15,https://www.gadgets360.com/asus-vivobook-15-price-in-india-111824,"₹ 49,990",15.60-inch,N/A,Core i5,Windows 11,N/A,N/A
HP Pavilion Plus 14,https://www.gadgets360.com/hp-pavilion-plus-price-in-india-111266,N/A,14.00-inch,2240x1400 pixels,Core i5,Windows 11,512GB,N/A
Infinix InBook X1 Neo,https://www.gadgets360.com/infinix-inbook-x1-neo-price-in-india-111252,"₹ 24,990",14.00-inch,1080x1920 pixels,N/A,N/A,N/A,1.24 kg
Acer Aspire 5 (A515-57G),https://www.gadgets360.com/acer-aspire-5-a515-57g-price-in-india-110726,N/A,15.60-inch,1920x1080 pixels,Core i5,Windows 11,512GB,N/A
Acer Aspire 7 (2022),https://www.gadgets360.com/acer-aspire-7-2022-price-in-india-110604,"₹ 62,990",15.60-inch,1920x1080 pixels,Core i5,N/A,512GB,N/A
Asus TUF Dash F15 (2022),https://www.gadgets360.com/asus-tuf-dash-f15-2022-price-in-india-110472,"₹ 90,990",15.60-inch,N/A,Core i7,Windows 10 Home,512GB,2.00 kg
